crop,valid_season,soil_requirement,ph_text,temp_text,rain_text,organic_carbon_text,humidity_text,source,ph_min,ph_max,temp_min,temp_max,rain_min,rain_max
Fenugreek,Rabi,Loamy / Black Soil,6.0 - 7.5,15 - 25,400 - 600,Not found,Moderate,Project Crop Recommendation.docx table 16,6.0,7.5,15.0,25.0,400.0,600.0
Fenugreek,Rabi,Well-drained loamy,5.3 – 8.2,15 – 28 (Cooler),500 – 750 (Total),Medium (Prefers),Low (Dry matur.),Project Crop Recommendation.docx table 17,5.3,8.2,15.0,28.0,500.0,750.0
Fenugreek,Rabi,Sandy loam,7.0 - 8.5,15 - 25,300 - 450,Low,Low,Project Crop Recommendation.docx table 26,7.0,8.5,15.0,25.0,300.0,450.0
Fenugreek,Rabi,Sandy Loam to Loamy,6.0 - 7.5,15 - 25,400 - 600,Medium,60 - 70%,Project Crop Recommendation.docx table 28,6.0,7.5,15.0,25.0,400.0,600.0
Fenugreek,Rabi,Loamy,6.0 – 7.0,10 – 25,300 – 500,Not Found (Prefer Med),Low,Project Crop Recommendation.docx table 29,6.0,7.0,10.0,25.0,300.0,500.0
Fenugreek,Rabi,Well-drained Loam,6.0 – 7.0,10 – 25,500 – 750,High,Not found,Project Crop Recommendation.docx table 31,6.0,7.0,10.0,25.0,500.0,750.0
Fenugreek,Rabi,Loamy / Sandy Loam,5.3 – 8.2,15 – 28,500 – 750,Not found,Low,Project Crop Recommendation.docx table 32,5.3,8.2,15.0,28.0,500.0,750.0
Fenugreek,Rabi,Sandy Loam,7.0 - 8.0,15 - 25,300 - 400 (Irrigated),Low to Medium,Low to Moderate,Project Crop Recommendation.docx table 34,7.0,8.0,15.0,25.0,,
Fenugreek,Rabi,Well-drained Loam,6.0−8.2,15−28,500−750,>0.5 (Ideal),Low (Dry),Project Crop Recommendation.docx table 4,6.0,8.2,15.0,28.0,500.0,750.0
Fenugreek,Rabi,Sandy Loam,5.3 - 8.2,15 - 28,500 - 750,Medium (0.5-0.7),60 - 80,Project Crop Recommendation.docx table 8,5.3,8.2,15.0,28.0,500.0,750.0
Fodder Beet,Rabi,Ridged / Fine,Saline Tol.,15 - 25,800 - 1000 (irr),High (FYM req),Not Found,Project Crop Recommendation.docx table 25,,,15.0,25.0,800.0,1000.0
Fodder Beet,Rabi,Sandy loam,Tol. Saline,15 - 25,Irrigated,Not Found,Not Found,Project Crop Recommendation.docx table 26,,,15.0,25.0,,
Fodder Beet,Rabi,Loamy / Saline,7.0 - 9.5,Moderate,Very High Efficiency,Not found,Low,Project Crop Recommendation.docx table 9,7.0,9.5,,,,
Garlic,Rabi,Loamy,6.0 - 7.5,12 - 25,600 - 700,High (10-15 t/ha FYM),,Project Crop Recommendation.docx table 1,6.0,7.5,12.0,25.0,600.0,700.0
Garlic,Rabi,Loamy to Clay Loam,6.0–8.0,"12–25 (Veg), Warm/Dry (Mat)",600–700,Rich/High,60–70%,Project Crop Recommendation.docx table 11,6.0,8.0,12.0,25.0,600.0,700.0
Garlic,Rabi,Friable,6.0-7.0,12-18,Irrigated,Not found**,Low to Mod,Project Crop Recommendation.docx table 14,6.0,7.0,12.0,18.0,,
Garlic,Rabi,Loam to Clay Loam,6.0 - 7.5,15 - 25,Irrigated,Not found,Moderate,Project Crop Recommendation.docx table 16,6.0,7.5,15.0,25.0,,
Garlic,Rabi,Loamy / Silt Loam,6.0 - 8.0,12 - 25,600 - 700 mm,High,60 - 70%,Project Crop Recommendation.docx table 18,6.0,8.0,12.0,25.0,600.0,700.0
Garlic,Rabi,Fertile Loamy,6.0−8.0,13−24,Not Found,High (Rich),Not Found,Project Crop Recommendation.docx table 2,6.0,8.0,13.0,24.0,,
Garlic,Rabi,Fertile Loam,6.0 - 8.0,12 - 25,600 - 700,0.6 - 0.9,60 - 70,Project Crop Recommendation.docx table 25,6.0,8.0,12.0,25.0,600.0,700.0
Garlic,Rabi,Fertile Loam,6.0 – 7.2,13 – 24,Not found,High (>0.5%),Cool & Moist,Project Crop Recommendation.docx table 31,6.0,7.2,13.0,24.0,,
Garlic,Rabi,Loamy / Sandy Loam,6.0 – 7.5,15 – 25,600 – 700,Not found,Low to Moderate,Project Crop Recommendation.docx table 32,6.0,7.5,15.0,25.0,600.0,700.0
Garlic,Rabi,Fertile Loam,6.0−8.0,12−18,Moist growth period,High preferred,Dry at maturity,Project Crop Recommendation.docx table 7,6.0,8.0,12.0,18.0,,
Garlic,Rabi,Fertile Loam,6.0 - 8.0,15- 25,Moderate,High Preferred,Moderate,Project Crop Recommendation.docx table 9,6.0,8.0,15.0,25.0,,
Ginger,Kharif,Sandy/Red Loam,6.0 – 6.5,12 – 35,1300 – 1500,High (Rich in Humus),70 – 90%,Project Crop Recommendation.docx table 10,6.0,6.5,12.0,35.0,1300.0,1500.0
Ginger,Kharif,Sandy/Clay/Red Loam,6.0−6.5,12−35 (Opt: 19−28),1300−1500 mm,High (Humus-rich),70−90%,Project Crop Recommendation.docx table 2,6.0,6.5,12.0,35.0,1300.0,1500.0
Ginger,Kharif,Well-drained Sandy loam,6.0 - 6.5 (Ideal) / 8.3 (Actual),25 - 35 (Growth),1320 - 1520 (High),1.0% + (Ideal) / 0.1% (Actual),Warm & Humid,Project Crop Recommendation.docx table 22,6.0,6.5,25.0,35.0,1320.0,1520.0
Gram,Rabi,Loam to Clay Loam,7.0 - 8.0,15 - 25 (Cool night required),60 - 100 cm,0.39 - 0.55,30 - 50,Project Crop Recommendation.docx table 20,7.0,8.0,15.0,25.0,60.0,100.0
Gram,Rabi,Loamy to Medium brown loamy,7.0 - 8.3 (Actual),10 - 25 (Mild Winter),Medium (Mawath/Rainfed),Low (0.47 g kg^{-1}),40 - 60 (Low),Project Crop Recommendation.docx table 22,7.0,8.3,10.0,25.0,,
Gram,Rabi,Sandy Loam,7.5–9.0,20–25,350–450mm,0.20–0.26%,Dry,Project Crop Recommendation.docx table 23,7.5,9.0,20.0,25.0,350.0,450.0
Gram,Rabi,Loamy to Sandy Loam,7.0 - 8.5,15 - 25,200 - 450,Low,30 - 50%,Project Crop Recommendation.docx table 34,7.0,8.5,15.0,25.0,200.0,450.0
Green Gram,Kharif,Sandy Loam to Loam,6.5 - 8.5,28 - 35,400 - 550,Low to Medium,60 - 80% (Kharif),Project Crop Recommendation.docx table 28,6.5,8.5,28.0,35.0,400.0,550.0
Green Gram,Kharif,Loam / Sandy Loam,6.5 – 7.5,25 – 35,600 – 800,Not found,< 60,Project Crop Recommendation.docx table 32,6.5,7.5,25.0,35.0,600.0,800.0
Green Gram,Kharif,Sandy Loam,6.5 - 7.5,25 - 35,400 - 600,Low to Medium,Moderate,Project Crop Recommendation.docx table 35,6.5,7.5,25.0,35.0,400.0,600.0
Groundnut,Kharif,Loose sandy; avoids pod loss,5.5 – 7.0,25 – 30°C (Growth); sensitive to frost,500 – 1250 mm (Needs irrigation),Prefers high OC for retention,Moderate,Project Crop Recommendation.docx table 12,5.5,7.0,25.0,30.0,,
Groundnut,Kharif,Sandy Loam,6.0-7.5,25-30,500-700,Not found,Moderate,Project Crop Recommendation.docx table 14,6.0,7.5,25.0,30.0,500.0,700.0
Groundnut,Kharif,Sandy to Sandy Loam,7.0 - 8.5,25∘C to 35∘C,400 - 600 mm (Irrig.),< 0.5% (Low),Moderate,Project Crop Recommendation.docx table 15,7.0,8.5,25.0,35.0,,
Groundnut,Kharif,Sandy Loam / Sandy Clay Loam,5.5 - 7.0,25 - 30,500 - 1000,Moderate (0.5 - 0.75),Moderate,Project Crop Recommendation.docx table 16,5.5,7.0,25.0,30.0,500.0,1000.0
Groundnut,Kharif,Sandy Loam,6.0 - 7.0,25 - 30,500 - 1250 mm,Medium,60 - 70%,Project Crop Recommendation.docx table 18,6.0,7.0,25.0,30.0,500.0,1250.0
Groundnut,Kharif,Sandy,6.0–7.8,25–35,500–1000mm,0.17–0.26%,Humid,Project Crop Recommendation.docx table 23,6.0,7.8,25.0,35.0,500.0,1000.0
Groundnut,Kharif,Sandy loam,6.5 - 7.5,25 - 35,400 - 500,Low,Moderate,Project Crop Recommendation.docx table 26,6.5,7.5,25.0,35.0,400.0,500.0
Groundnut,Kharif,Sandy Loam to Sandy Clay Loam,6.0 - 7.5,25 - 30,500 - 1250,Moderate (> 0.4%),50 - 70%,Project Crop Recommendation.docx table 28,6.0,7.5,25.0,30.0,500.0,1250.0
Groundnut,Kharif,Light Sandy,6.5 – 8.0,25°C – 35°C,500 – 1000 mm,0.2% – 0.5%,Moderate,Project Crop Recommendation.docx table 3,6.5,8.0,25.0,35.0,500.0,1000.0
Groundnut,Kharif,Sandy Loam,6.0 - 7.0,25 - 30,500 - 1250,High,Moderate,Project Crop Recommendation.docx table 30,6.0,7.0,25.0,30.0,500.0,1250.0
Groundnut,Kharif,Sandy Loam / Sandy,6.0 – 7.5,25 – 30,500 – 700,Low to Medium,Not found,Project Crop Recommendation.docx table 31,6.0,7.5,25.0,30.0,500.0,700.0
Groundnut,Kharif,Sandy Loam,6.5 – 7.5,25 – 35,400 – 600,Not found,Moderate,Project Crop Recommendation.docx table 32,6.5,7.5,25.0,35.0,400.0,600.0
Groundnut,Kharif,Sandy,6.5–7.5,25–30,50–100 cm,Not found,Moderate,Project Crop Recommendation.docx table 33,6.5,7.5,25.0,30.0,50.0,100.0
Groundnut,Kharif,Sandy Loam,6.0 - 7.5,22 - 30,500 - 1000,> 0.50,High,Project Crop Recommendation.docx table 35,6.0,7.5,22.0,30.0,500.0,1000.0
Groundnut,Kharif,Sandy Loam,6.0 - 6.5,25 - 30,500 - 1000,Low-Med (0.2-0.5),50 - 70,Project Crop Recommendation.docx table 8,6.0,6.5,25.0,30.0,500.0,1000.0
Guar,Kharif,Well-drained sandy loam,7.0 – 8.5,32 – 38°C (Ideal); can tolerate up to 46°C,300 – 450 mm,Low; Nitrogen-fixing crop,Low,Project Crop Recommendation.docx table 12,7.0,8.5,32.0,38.0,300.0,450.0
Guar,Kharif,Sandy,7.5 - 8.5,25∘C to 40∘C,300 - 450 mm,< 0.2% (Low),Low,Project Crop Recommendation.docx table 15,7.5,8.5,25.0,40.0,300.0,450.0
Guar,Kharif,Loamy sand,7.0 – 8.5,25 – 40 (Growth),250 – 450 (Rainfed),0.1 – 0.2%,High (Vegetative),Project Crop Recommendation.docx table 17,7.0,8.5,25.0,40.0,250.0,450.0
Guar,Kharif,Sandy Loam,7.0 - 8.5,25 - 40,300 - 500,Not found,30 - 50,Project Crop Recommendation.docx table 20,7.0,8.5,25.0,40.0,300.0,500.0
Guar,Kharif,Fine Sand,7.5–8.5,30–45,250–400mm,0.03–0.21%,Low-Med,Project Crop Recommendation.docx table 23,7.5,8.5,30.0,45.0,250.0,400.0
Guar,Kharif,Sandy / Dunes,7.0 - 8.5,30 - 40,300 - 400,0.05 - 0.2,Moderate,Project Crop Recommendation.docx table 26,7.0,8.5,30.0,40.0,300.0,400.0
Guar,Kharif,Sandy to Sandy Loam,7.0 - 8.5(Alkaline tolerant),25 - 35,300 - 500,Low,35% - 55%,Project Crop Recommendation.docx table 27,7.0,8.5,25.0,35.0,300.0,500.0
Guar,Kharif,Sandy to Sandy Loam,7.0 - 8.5,30 - 40,300 - 450,Low,40 - 55%,Project Crop Recommendation.docx table 28,7.0,8.5,30.0,40.0,300.0,450.0
Guar,Kharif,Medium to Light Textured,7.0 – 8.5,25°C – 40°C,250 – 450 mm,0.2% – 0.4%,Low to Moderate,Project Crop Recommendation.docx table 3,7.0,8.5,25.0,40.0,250.0,450.0
Guar,Kharif,Sandy Loam,7.0 – 8.0,25 – 35,300 – 450,Not found,High (Growth),Project Crop Recommendation.docx table 32,7.0,8.0,25.0,35.0,300.0,450.0
Guar,Kharif,Sandy Loam,7.0 - 8.5,30 - 35 (Sowing),300 - 450,Low,Low during setting,Project Crop Recommendation.docx table 34,7.0,8.5,30.0,35.0,300.0,450.0
Guava,July - Aug,Well-drained Loam,6.5−7.5,23−28,Moderate,Not found,Low (for quality),Project Crop Recommendation.docx table 6,6.5,7.5,23.0,28.0,,
Guava,June – July,Alluvial/Clay Loam,4.5 – 8.2,10 – 46 (Very Hardy),< 1000,Medium,Low preferred,Project Crop Recommendation.docx table 10,4.5,8.2,10.0,46.0,,1000.0
Guava,Kharif,Sandy Loam to Clay Loam,4.5 – 7.5 (Opt: 5.5-7.0),15 – 35,1000 (Annual),High (>0.5% for best yield),Not found,Project Crop Recommendation.docx table 31,4.5,7.5,15.0,35.0,1000.0,1000.0
Guava,Perennial,Loam / Alluvial,6.5 - 7.5,10 - 46,< 1000,Medium (30kg/pit),,Project Crop Recommendation.docx table 1,6.5,7.5,10.0,46.0,,1000.0
Guava,Perennial,Well-drained Loamy,4.5–8.2,15–30 (Survival up to 46),<1000,Medium,Low,Project Crop Recommendation.docx table 11,4.5,8.2,15.0,30.0,,1000.0
Guava,Perennial,"Deep, Well-drained Sandy Loam",6.5 - 7.5 (Tolerates 8.7),23 - 28 (Optimum),< 1000,0.40 - 0.60,Dry at flowering,Project Crop Recommendation.docx table 13,6.5,7.5,23.0,28.0,,1000.0
Guava,Perennial,Loamy,6.5-7.5,23-28,<1000,Not found,Dry,Project Crop Recommendation.docx table 14,6.5,7.5,23.0,28.0,,1000.0
Guava,Perennial,Clay Loam / Sandy Loam,4.5 - 9.4,15 - 45,380 - 500 mm,Medium - High,40 - 70%,Project Crop Recommendation.docx table 18,4.5,9.4,15.0,45.0,380.0,500.0
Guava,Perennial,Shallow / Med-Black,5.5−7.5,23−28,<1000 mm,Moderate,Moderate,Project Crop Recommendation.docx table 2,5.5,7.5,23.0,28.0,,1000.0
Guava,Perennial,Well-drained Loam,6.5−7.5,23−28,Moderate,Not found,Low (for quality),Project Crop Recommendation.docx table 7,6.5,7.5,23.0,28.0,,
Guava,Perennial,Sandy Loam,4.5 - 8.2,23 - 28,1000,Medium (0.5-0.8),50 - 80,Project Crop Recommendation.docx table 8,4.5,8.2,23.0,28.0,1000.0,1000.0
Guava,Perennial,Alluvial / Well-drained,4.5 - 8.0,15- 25,400 - 1000 mm,Not found,Low,Project Crop Recommendation.docx table 9,4.5,8.0,15.0,25.0,400.0,1000.0
Guava,Rabi,Well-drained Loam,Wide Range,23 - 28,< 1000,"""Not found""",Low (Ripening),Project Crop Recommendation.docx table 30,,,23.0,28.0,,1000.0
Guava,Rabi,Deep Loam,4.5 - 8.2,10 - 36,< 1016,Not Found,Moderate,Project Crop Recommendation.docx table 35,4.5,8.2,10.0,36.0,,1016.0
Isabgol,Rabi,Well-drained light sandy,7.2 – 7.9,20-30°C (Germination); 30-35°C (Maturity),50 – 125 cm annual (prefers zero at maturity),Low status (100% of samples),Very Low,Project Crop Recommendation.docx table 12,7.2,7.9,20.0,30.0,50.0,125.0
Isabgol,Rabi,Sandy to Loamy Sand,7.0 - 8.5,20∘C to 25∘C,200 - 300 mm,< 0.3% (Low),Low,Project Crop Recommendation.docx table 15,7.0,8.5,20.0,25.0,200.0,300.0
Isabgol,Rabi,Sandy to Light Soils,7.0 - 8.0,15 - 30,200 - 400,Not found,Cool and Dry,Project Crop Recommendation.docx table 16,7.0,8.0,15.0,30.0,200.0,400.0
Isabgol,Rabi,Light sandy to silty loam,4.7 – 7.7,20 – 30 (Germination),200 – 400 (Irrigated),< 0.5% (Low),Low (Dry matur.),Project Crop Recommendation.docx table 17,4.7,7.7,20.0,30.0,,
Isabgol,Rabi,Sandy / Sandy Loam,7.2−7.9,15−35 (Opt: 20−30),500−1250 mm,Moderate,Low (Maturity),Project Crop Recommendation.docx table 2,7.2,7.9,15.0,35.0,500.0,1250.0
Isabgol,Rabi,Well-drained Sandy Loam,7.2 - 7.9,20 - 35,50 - 125mm,Low; responsive to organic matter,Very Low; dry weather at maturity,Project Crop Recommendation.docx table 24,7.2,7.9,20.0,35.0,50.0,125.0
Isabgol,Rabi,Silty-loam / Sandy,4.7 - 7.7,20 - 30,250 - 400,Low,Very Low (Maturity),Project Crop Recommendation.docx table 26,4.7,7.7,20.0,30.0,250.0,400.0
Isabgol,Rabi,Light Sandy to Sandy Loam,7.2 - 7.9,20 - 30 (Maturity: 30-35),50 - 125,Low to Medium,Very Low at maturity,Project Crop Recommendation.docx table 28,7.2,7.9,20.0,30.0,50.0,125.0
Isabgol,Rabi,Sandy to Loamy,7.0 – 8.0,15 – 30,200 – 400,Low (<0.50%),Low (Dry),Project Crop Recommendation.docx table 29,7.0,8.0,15.0,30.0,200.0,400.0
Isabgol,Rabi,Sandy to Sandy Loam,7.0 – 8.5,15°C – 30°C,200 – 400 mm,0.23% – 0.31%,Low (at maturity),Project Crop Recommendation.docx table 3,7.0,8.5,15.0,30.0,200.0,400.0
Isabgol,Rabi,Sandy Loam,7.2–7.9,20–35,50–125 cm,Not found,Low/Dry,Project Crop Recommendation.docx table 33,7.2,7.9,20.0,35.0,50.0,125.0
Isabgol,Rabi,Light Sandy / Sandy Loam,7.2−7.9,20−35,500−1250 mm,Not found,Low/Dry,Project Crop Recommendation.docx table 7,7.2,7.9,20.0,35.0,500.0,1250.0
Kalonji,Rabi,Clay Loam / Loam,5.0 - 8.5,12 - 25,400 - 500,High,,Project Crop Recommendation.docx table 1,5.0,8.5,12.0,25.0,400.0,500.0
Kalonji,Rabi,Loamy / Med-Heavy,5.0−8.5,12−25,400−500 mm,High,Not Found,Project Crop Recommendation.docx table 2,5.0,8.5,12.0,25.0,400.0,500.0
Kalonji,Rabi,Sandy Loam,8.0−8.3,15−25,Not found,0.15−0.23,Not found,Project Crop Recommendation.docx table 4,8.0,8.3,15.0,25.0,,
Kinnow,Perennial,Sandy Loam,6.5 - 7.5,20∘C to 35∘C,400 - 600 mm (Irrig.),< 0.6% (Med),Moderate,Project Crop Recommendation.docx table 15,6.5,7.5,20.0,35.0,,
Kinnow,Perennial,Sandy Loam,8.1–8.5,20–35,250–350mm,0.18–0.27%,Med-High,Project Crop Recommendation.docx table 23,8.1,8.5,20.0,35.0,250.0,350.0
Kinnow Mandarin,Kharif,Well-drained Sandy Loam,6.0 - 7.5,20 - 35,300 - 400,Not Found (Poor),40 - 65%,Project Crop Recommendation.docx table 34,6.0,7.5,20.0,35.0,300.0,400.0
Lemon,Kharif,Light Loam,5.5–7.5,13–37,50–250 cm,High,Low,Project Crop Recommendation.docx table 33,5.5,7.5,13.0,37.0,50.0,250.0
Lime,Kharif,Loam,6.5−7.5,20−35,750−900,Not found,Not found,Project Crop Recommendation.docx table 6,6.5,7.5,20.0,35.0,750.0,900.0
Lime,Perennial,Well-drained Loam,5.5−7.5,15−35,Not Found,Moderate,Moderate,Project Crop Recommendation.docx table 2,5.5,7.5,15.0,35.0,,
Maize,Kharif,Red loamy to Deep brown loamy,7.0 - 8.3 (Actual),20 - 35 (Optimal),500 - 1100 (Seasonal),Low (0.47 g kg^{-1}),60 - 80 (Monsoon Avg),Project Crop Recommendation.docx table 22,7.0,8.3,20.0,35.0,500.0,1100.0
Mandarin,Perennial,Loam / Sandy Clay Loam,6.0 - 8.0,10 - 35,1000 - 1200,High / Well-Drained,,Project Crop Recommendation.docx table 1,6.0,8.0,10.0,35.0,1000.0,1200.0
Mango,July – Sept,Deep Alluvial/Loamy,5.5 – 7.5,15 – 40,850 – 1050,High (Deep Soils),High (Growth Phase),Project Crop Recommendation.docx table 10,5.5,7.5,15.0,40.0,850.0,1050.0
Mango,Perennial,Alluvial / Loamy,5.5−7.5,24−30,890−1015 mm,High,High (Growing),Project Crop Recommendation.docx table 2,5.5,7.5,24.0,30.0,890.0,1015.0
Mango,Perennial,Deep Loamy/Alluvial,6.5 - 7.5,23.9 - 26.7 (Optimal),100 - 110 cm,Not found,50 - 70,Project Crop Recommendation.docx table 20,6.5,7.5,23.9,26.7,100.0,110.0
Mango,Perennial,Sandy loam to Alluvial,5.5 - 7.5 (Ideal)/ 8.3 (Actual),24 - 30 (Ideal)/ 48 (Max),890 - 1015 (Ideal),0.47 g kg^{-1}(Low),High Humidity,Project Crop Recommendation.docx table 22,5.5,7.5,24.0,30.0,890.0,1015.0
Mehandi,Perennial,Sandy Loam to Clay Loam,7.7 – 9.9,25 – 45,300 – 500,Low (documented 0.15–0.30%),20 – 40 (Dry),Project Crop Recommendation.docx table 29,7.7,9.9,25.0,45.0,300.0,500.0
Mehandi,Perennial,Sandy Loam to Clay Loam,7.7 – 9.9,25°C – 45°C,400 – 450 mm,0.3% – 0.5%,Low,Project Crop Recommendation.docx table 3,7.7,9.9,25.0,45.0,400.0,450.0
Moong Bean,Kharif,Sandy loam,6.5 - 7.5,25 - 35,250 - 400,Not Found,Moderate,Project Crop Recommendation.docx table 26,6.5,7.5,25.0,35.0,250.0,400.0
Moth Bean,Kharif,Sandy,7.0 - 8.0,25∘C to 45∘C,200 - 300 mm,< 0.15% (Low),Low,Project Crop Recommendation.docx table 15,7.0,8.0,25.0,45.0,200.0,300.0
Moth Bean,Kharif,Sandy,7.5 – 8.5,25 – 45 (Hardy),200 – 300 (Rainfed),0.05 – 0.2%,Low to Medium,Project Crop Recommendation.docx table 17,7.5,8.5,25.0,45.0,200.0,300.0
Moth Bean,Kharif,Sandy to Light Sandy,3.5 - 10.0,24 - 32 (Tolerates up to 45),200 - 300,Very Low (High tolerance),40 - 60%,Project Crop Recommendation.docx table 28,3.5,10.0,24.0,32.0,200.0,300.0
Moth Bean,Kharif,Sandy to Sandy Loam,3.5 – 10.0,24°C – 45°C,200 – 300 mm,0.1% – 0.3%,Low,Project Crop Recommendation.docx table 3,3.5,10.0,24.0,45.0,200.0,300.0
Mungbean,Kharif,Sandy Loam,7.5–8.5,25–32,600–800mm,0.21%,Hot,Project Crop Recommendation.docx table 23,7.5,8.5,25.0,32.0,600.0,800.0
Mungbean,Kharif,Sandy Loam,7.0 - 8.0,25 - 35,300 - 450,Low,Low to Moderate,Project Crop Recommendation.docx table 34,7.0,8.0,25.0,35.0,300.0,450.0
Mustard,Rabi,Loam / Sandy Loam,6.5 - 8.5,15 - 25,240 - 400,Medium (FYM needed),,Project Crop Recommendation.docx table 1,6.5,8.5,15.0,25.0,240.0,400.0
Mustard,Rabi,Sandy Loam to Clay,6.5–8.5,15–25 (Germination/Growth),400–600,Low to Medium,Moderate,Project Crop Recommendation.docx table 11,6.5,8.5,15.0,25.0,400.0,600.0
Mustard,Rabi,Sandy to sandy loam,7.0 – 8.5,17 – 22°C (Optimal seasonal average),80 – 240 mm,Low,Low,Project Crop Recommendation.docx table 12,7.0,8.5,17.0,22.0,80.0,240.0
Mustard,Rabi,Sandy Loam to Clay Loam,7.0 - 8.2,15 - 25 (Optimum); 40 (Max),350 - 450,0.25 - 0.45,70 - 95,Project Crop Recommendation.docx table 13,7.0,8.2,15.0,25.0,350.0,450.0
Mustard,Rabi,Loamy,6.5-8.5,15-25,250-400,Not found,20-58,Project Crop Recommendation.docx table 14,6.5,8.5,15.0,25.0,250.0,400.0
