requested_district,requested_season,district,Season,rainfall,temperature,humidity,ph,organic_carbon,sand,clay,silt,soil_texture,crop,ph_match,soil_match,temp_match,rain_match,ph_match_score,soil_match_score,temp_match_score,rain_match_score,suitability_score,catalog_source,suitability_probability,in_district_evidence
Kota,Rabi,Kota,Rabi,19.652136623441187,20.426329422846656,51.11864552673699,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Mustard,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.8714187664733573,True
Kota,Rabi,Kota,Rabi,19.652136623441187,20.426329422846656,51.11864552673699,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Garlic,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.7736382673984348,True
Kota,Rabi,Kota,Rabi,19.652136623441187,20.426329422846656,51.11864552673699,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Fenugreek,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.6570347026024252,True
Kota,Kharif,Kota,Kharif,1011.0174971638886,28.27865787130449,68.46257821672482,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Soybean,True,True,True,True,1.0,1.0,1.0,1.0,1.0,Project Crop Recommendation.docx table 1,0.6487329676273847,True
Kota,Kharif,Kota,Kharif,1011.0174971638886,28.27865787130449,68.46257821672482,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Groundnut,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 14,0.7236244455673194,False
Kota,Kharif,Kota,Kharif,1011.0174971638886,28.27865787130449,68.46257821672482,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Sesame,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 12,0.5420098074337422,False
Udaipur,Rabi,Udaipur,Rabi,11.911853688720843,20.308069519176293,46.18092031124813,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Garlic,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.7789718595699153,True
Udaipur,Rabi,Udaipur,Rabi,11.911853688720843,20.308069519176293,46.18092031124813,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Kalonji,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.5938330297426618,True
Udaipur,Rabi,Udaipur,Rabi,11.911853688720843,20.308069519176293,46.18092031124813,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Isabgol,True,False,True,False,1.0,0.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 12,0.5653837361981603,True
Udaipur,Kharif,Udaipur,Kharif,1031.915170313435,26.307638541881328,72.72116546632773,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Ashwagandha,False,True,True,False,0.0,1.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 1,0.5861377438615106,True
Udaipur,Kharif,Udaipur,Kharif,1031.915170313435,26.307638541881328,72.72116546632773,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Custard Apple,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 16,0.5660655931891841,True
Udaipur,Kharif,Udaipur,Kharif,1031.915170313435,26.307638541881328,72.72116546632773,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Ginger,False,True,True,False,0.0,1.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 10,0.5639490158546585,True
Jaisalmer,Rabi,Jaisalmer,Rabi,7.776807773575811,20.80988062342001,37.1529647768313,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam,Mustard,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.8538594367183042,True
Jaisalmer,Rabi,Jaisalmer,Rabi,7.776807773575811,20.80988062342001,37.1529647768313,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam,Isabgol,False,True,True,False,0.0,1.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 12,0.621270866334585,True
Jaisalmer,Rabi,Jaisalmer,Rabi,7.776807773575811,20.80988062342001,37.1529647768313,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam,Cumin,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 15,0.5955365639208645,True
Jaisalmer,Kharif,Jaisalmer,Kharif,288.8239295006118,31.555274950333104,50.99481860014886,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam,Groundnut,False,True,False,False,0.0,1.0,0.0,0.0,0.25,Project Crop Recommendation.docx table 14,0.7750555148402376,True
Jaisalmer,Kharif,Jaisalmer,Kharif,288.8239295006118,31.555274950333104,50.99481860014886,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam,Guar,True,True,False,False,1.0,1.0,0.0,0.0,0.5,Project Crop Recommendation.docx table 12,0.7636244852740218,True
Jaisalmer,Kharif,Jaisalmer,Kharif,288.8239295006118,31.555274950333104,50.99481860014886,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam,Castor,False,True,True,False,0.0,1.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 12,0.49490669654311165,True
Jaipur,Rabi,Jaipur,Rabi,23.453599520004282,18.47517589538655,50.831874063914974,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam,Mustard,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.8617926549712253,True
Jaipur,Rabi,Jaipur,Rabi,23.453599520004282,18.47517589538655,50.831874063914974,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam,Onion,False,True,True,False,0.0,1.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 22,0.6830314925685509,True
Jaipur,Rabi,Jaipur,Rabi,23.453599520004282,18.47517589538655,50.831874063914974,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam,Fenugreek,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.6639264001612156,True
Jaipur,Kharif,Jaipur,Kharif,779.5241530433774,28.07483423251861,65.53429207022856,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam,Groundnut,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 14,0.8130592648624616,True
Jaipur,Kharif,Jaipur,Kharif,779.5241530433774,28.07483423251861,65.53429207022856,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam,Sesame,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 12,0.5873500428136517,True
Jaipur,Kharif,Jaipur,Kharif,779.5241530433774,28.07483423251861,65.53429207022856,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam,Chilli,False,True,False,True,0.0,1.0,0.0,1.0,0.5,Project Crop Recommendation.docx table 10,0.5815370796653255,True
Barmer,Rabi,Barmer,Rabi,6.1159511723453805,21.88171124176846,34.18669036274774,7.865942379493807,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam,Mustard,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.8537903592796247,True
Barmer,Rabi,Barmer,Rabi,6.1159511723453805,21.88171124176846,34.18669036274774,7.865942379493807,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam,Isabgol,True,False,True,False,1.0,0.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 12,0.6796246730775605,True
Barmer,Rabi,Barmer,Rabi,6.1159511723453805,21.88171124176846,34.18669036274774,7.865942379493807,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam,Cumin,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 15,0.5940698591695696,True
Barmer,Kharif,Barmer,Kharif,460.4731669575378,30.121576857009376,58.644145384325306,7.865942379493807,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam,Guar,True,True,False,False,1.0,1.0,0.0,0.0,0.5,Project Crop Recommendation.docx table 12,0.7654082760898429,True
Barmer,Kharif,Barmer,Kharif,460.4731669575378,30.121576857009376,58.644145384325306,7.865942379493807,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam,Groundnut,False,True,False,False,0.0,1.0,0.0,0.0,0.25,Project Crop Recommendation.docx table 14,0.7570244596665302,True
Barmer,Kharif,Barmer,Kharif,460.4731669575378,30.121576857009376,58.644145384325306,7.865942379493807,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam,Castor,False,True,True,False,0.0,1.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 12,0.47012014662573365,True
